creators_title,link
Crouzier: Connect Researcher - digital Tools for researchers,http://connectedresearchers.com/online-tools-for-researchers/
Dirt Directory: Dirt Directory Digital research Tools,http://dirtdirectory.org/
Ebermann: Data Stack,https://blog.liip.ch/archive/2017/02/13/data-stack.html
Force11: Force11 Resource and Tool Catalog,https://www.force11.org/catalog
LabWorm: tools,https://labworm.com/discover
Martyn Rittman: Research preprints: server list,https://docs.google.com/spreadsheets/d/17RgfuQcGJHKSsSJwZZn0oiXAnimZu2sZsWp8Z6ZaYYo/edit#gid=0
Research Stash,https://researchstash.com/
SciCrunch: resources,https://scicrunch.org/browse/resourcedashboard
Tennant & Mounce: Open Glossary,https://docs.google.com/document/d/1-6ZokH_dyeMYB5vXJNgSnzu6EtWtKrvgpB8nNHfZynU
Wikipedia: Comparison of research networking tools and research profiling systems,http://en.wikipedia.org/wiki/Comparison_of_research_networking_tools_and_research_profiling_systems
